customer_id,order_id,order_date,CLV
36737684,415247728,2025-04-30,20.0
36733024,415247755,2025-04-30,187.8
36728592,415247813,2025-04-30,273.70000000000005
36723766,415247771,2025-04-30,260.69
36714156,415247793,2025-04-30,20.0
36545725,415247843,2025-04-30,20.0
36026733,415247566,2025-04-30,345.65000000000003
33970329,415247851,2025-04-30,20.0
30989847,415247863,2025-04-30,89.9
17425167,415247919,2025-04-30,20.0
3736542,415247596,2025-04-30,296.64
36739157,415246443,2025-04-29,42.95
36738613,415245431,2025-04-29,39.95
36738387,415245905,2025-04-29,349.59999999999997
36738246,415244950,2025-04-29,20.0
36737696,415244947,2025-04-29,20.0
36736693,415244994,2025-04-29,132.85
36736429,415245225,2025-04-29,20.0
36736052,415245014,2025-04-29,149.85000000000002
36736017,415245091,2025-04-29,84.9
36734140,415245078,2025-04-29,321.65
36733810,415245151,2025-04-29,310.65000000000003
36733684,415245621,2025-04-29,192.8
36733233,415245656,2025-04-29,100.0
36732532,415245670,2025-04-29,84.9
36731719,415246232,2025-04-29,42.95
36730683,415245985,2025-04-29,20.0
36730654,415245384,2025-04-29,127.85000000000001
36730547,415244938,2025-04-29,92.9
36730319,415245631,2025-04-29,52.95
36730258,415245900,2025-04-29,39.949999999999996
36730203,415245299,2025-04-29,39.95
36729912,415246043,2025-04-29,39.949999999999996
36728191,415245285,2025-04-29,292.70000000000005
36728004,415245476,2025-04-29,195.8
36727083,415245062,2025-04-29,20.0
36726750,415245288,2025-04-29,99.9
36726466,415245072,2025-04-29,42.95
36726106,415245096,2025-04-29,124.85000000000001
36725862,415245728,2025-04-29,20.0
36725652,415245517,2025-04-29,265.7
36725610,415245035,2025-04-29,250.75000000000003
36725502,415244983,2025-04-29,89.9
36725017,415245275,2025-04-29,124.85
36724966,415245995,2025-04-29,345.65
36724759,415245641,2025-04-29,97.899999999999991
36724379,415245365,2025-04-29,157.85
36724357,415244858,2025-04-29,39.949999999999996
36723967,415245133,2025-04-29,42.949999999999996
36722183,415246142,2025-04-29,20.0
36721694,415244863,2025-04-29,20.0
36720940,415246478,2025-04-29,20.0
36719128,415245057,2025-04-29,152.85
36718142,415245863,2025-04-29,179.8
36712630,415245978,2025-04-29,135.85
36711203,415245642,2025-04-29,42.95
36709243,415246338,2025-04-29,197.8
36707746,415245282,2025-04-29,20.0
36703682,415245792,2025-04-29,102.9
36700874,415245083,2025-04-29,47.949999999999996
36683632,415246143,2025-04-29,100.0
36674016,415246196,2025-04-29,230.75
36666842,415245291,2025-04-29,340.65
36666358,415246266,2025-04-29,20.0
36662323,415246512,2025-04-29,39.95
36660267,415245675,2025-04-29,286.7
36649901,415246454,2025-04-29,20.0
36644664,415246128,2025-04-29,308.65000000000003
36634359,415246396,2025-04-29,94.9
36605362,415245418,2025-04-29,49.95
36604996,415246551,2025-04-29,60.0
36581100,415245499,2025-04-29,268.7
36554312,415246360,2025-04-29,144.85
36174939,415246164,2025-04-29,335.64
36066634,415246416,2025-04-29,20.0
35560141,415245317,2025-04-29,82.89
35148564,415245903,2025-04-29,49.95
34730651,415246376,2025-04-29,185.8
34588256,415245144,2025-04-29,20.0
33508125,415244969,2025-04-29,39.95
33005305,415245064,2025-04-29,52.94
32927796,415245380,2025-04-29,192.79999999999998
31437430,415246087,2025-04-29,20.0
31426438,415245461,2025-04-29,20.0
31262148,415246020,2025-04-29,97.9
29004134,415245589,2025-04-29,44.95
27334314,415245162,2025-04-29,193.8
25589122,415245343,2025-04-29,99.9
24763193,415245323,2025-04-29,140.85
22354499,415245733,2025-04-29,97.9
22267939,415245206,2025-04-29,134.85
22064430,415245936,2025-04-29,138.85
21991062,415245540,2025-04-29,52.95
13639204,415245482,2025-04-29,47.95
12021982,415245941,2025-04-29,212.75
11720774,415245732,2025-04-29,92.9
9075518,415246016,2025-04-29,322.65
5675934,415245579,2025-04-29,20.0
5157086,415245445,2025-04-29,84.9
3737853,415245332,2025-04-29,143.85
1090700,415245887,2025-04-29,285.69
338589,415245326,2025-04-29,20.0
35533505,415224000,2025-04-22,20.0
34540323,415223999,2025-04-22,20.0
36724779,415216967,2025-04-18,20.0
36722645,415214204,2025-04-17,89.9
36722641,415214197,2025-04-17,95.9
36720553,415214039,2025-04-17,44.949999999999996
36720009,415214346,2025-04-17,99.9
36718949,415214316,2025-04-17,47.95
36718898,415214020,2025-04-17,87.9
36718501,415214150,2025-04-17,142.85
36718378,415214034,2025-04-17,132.85
36718137,415214380,2025-04-17,350.59999999999997
36718067,415214364,2025-04-17,39.95
36717789,415213953,2025-04-17,49.95
36717426,415214087,2025-04-17,84.9
36717068,415214367,2025-04-17,102.9
36716990,415214332,2025-04-17,97.9
36712826,415214126,2025-04-17,84.899999999999991
36707853,415214056,2025-04-17,325.65000000000003
36706918,415214103,2025-04-17,325.65
36706810,415213882,2025-04-17,20.0
36706334,415213872,2025-04-17,44.949999999999996
36705821,415214402,2025-04-17,214.75
36703574,415213957,2025-04-17,140.85
36703071,415214059,2025-04-17,39.949999999999996
36699321,415213848,2025-04-17,314.65000000000003
36698823,415214276,2025-04-17,334.65
36697670,415214015,2025-04-17,323.65
36697631,415213919,2025-04-17,147.85
36696899,415213838,2025-04-17,330.6
36694037,415214091,2025-04-17,142.85
36691832,415213955,2025-04-17,89.9
36690476,415214114,2025-04-17,47.95
36689052,415213840,2025-04-17,99.89
36685086,415214080,2025-04-17,20.0
36683816,415213803,2025-04-17,44.95
36680961,415213850,2025-04-17,84.9
36680396,415213981,2025-04-17,79.9
36680104,415214344,2025-04-17,89.9
36678989,415214187,2025-04-17,265.7
36675195,415214282,2025-04-17,130.85
36638137,415213943,2025-04-17,82.9
36622926,415214031,2025-04-17,313.64
36615434,415214105,2025-04-17,20.0
36128601,415213816,2025-04-17,87.899999999999991
35711121,415214241,2025-04-17,282.70000000000005
32935398,415213815,2025-04-17,311.65
32594776,415214321,2025-04-17,308.65
30071884,415214191,2025-04-17,20.0
29856376,415214240,2025-04-17,79.89
29597314,415213843,2025-04-17,49.95
23600041,415214388,2025-04-17,144.79999999999998
21035541,415213880,2025-04-17,89.89
20406306,415214257,2025-04-17,20.0
18995574,415213927,2025-04-17,333.64
17374356,415214161,2025-04-17,358.59999999999997
16839660,415213913,2025-04-17,97.9
3729161,415214345,2025-04-17,44.949999999999996
2432809,415213809,2025-04-17,20.0
36721551,415211727,2025-04-16,20.0
36721495,415211738,2025-04-16,317.65
36721455,415211755,2025-04-16,292.64
36719769,415211827,2025-04-16,44.949999999999996
36717342,415211808,2025-04-16,44.95
36715966,415211811,2025-04-16,305.65000000000003
36709163,415211837,2025-04-16,302.65
36707137,415211746,2025-04-16,20.0
36705008,415211824,2025-04-16,47.95
36699804,415211800,2025-04-16,20.0
36696730,415212014,2025-04-16,20.0
36681979,415211826,2025-04-16,20.0
36677432,415212038,2025-04-16,20.0
36638022,415211842,2025-04-16,339.59999999999997
36506126,415212005,2025-04-16,87.9
36423389,415211958,2025-04-16,337.65
27530113,415212031,2025-04-16,60.0
18144572,415211793,2025-04-16,20.0
1651373,415212029,2025-04-16,49.95
36715184,415209109,2025-04-15,119.85
36712790,415209028,2025-04-15,47.95
36711159,415208943,2025-04-15,322.65
